project_id,project_type,client_industry,start_date,end_date,duration_weeks,team_size,senior_partners,principals,senior_consultants,consultants,analysts,revenue,direct_costs,overhead_allocated,client_satisfaction,repeat_client
P001,Strategy,Financial Services,2024-08-01,2024-11-15,16,8,1,1,2,2,2,850000,620000,85000,4.2,Yes
P002,Operations,Manufacturing,2024-08-15,2024-12-20,18,12,1,2,3,4,2,1200000,890000,120000,4.5,No
P003,Digital Transformation,Healthcare,2024-09-01,2025-01-10,19,15,2,2,4,4,3,1650000,1180000,165000,4.8,Yes
P004,Due Diligence,Private Equity,2024-07-15,2024-09-30,11,6,1,1,2,1,1,480000,320000,48000,4.1,Yes
P005,Cost Reduction,Retail,2024-10-01,2025-02-15,20,10,1,2,2,3,2,950000,740000,95000,3.9,No
P006,M&A Support,Technology,2024-06-01,2024-08-30,13,9,1,1,3,2,2,720000,485000,72000,4.3,Yes
P007,Process Improvement,Energy,2024-11-01,2025-03-30,21,14,1,3,3,4,3,1350000,1020000,135000,4.6,No
P008,Strategic Planning,Telecommunications,2024-07-01,2024-10-15,16,7,1,1,2,2,1,680000,475000,68000,4.0,Yes
P009,Organizational Design,Government,2024-09-15,2025-01-30,19,11,1,2,3,3,2,890000,695000,89000,3.8,No
P010,Technology Implementation,Financial Services,2024-08-01,2025-01-15,24,16,2,3,4,4,3,1800000,1350000,180000,4.7,Yes
P011,Market Entry,Consumer Goods,2024-10-15,2025-02-28,19,8,1,1,2,2,2,750000,580000,75000,4.4,No
P012,Supply Chain,Manufacturing,2024-06-15,2024-11-30,24,13,1,2,4,3,3,1150000,920000,115000,4.2,Yes
P013,Risk Management,Insurance,2024-09-01,2024-12-15,16,9,1,2,2,2,2,820000,590000,82000,4.1,No
P014,Performance Improvement,Healthcare,2024-07-01,2024-11-15,20,12,1,2,3,3,3,1050000,825000,105000,4.5,Yes
P015,Digital Strategy,Retail,2024-11-15,2025-04-30,23,10,1,2,3,2,2,980000,750000,98000,4.3,No
P016,Due Diligence,Private Equity,2024-08-15,2024-10-30,11,5,1,1,1,1,1,420000,275000,42000,4.6,Yes
P017,Operations,Energy,2024-10-01,2025-03-15,24,15,2,2,4,4,3,1450000,1160000,145000,4.0,No
P018,Strategy,Technology,2024-06-01,2024-09-30,17,9,1,2,2,2,2,890000,640000,89000,4.8,Yes
P019,Cost Reduction,Manufacturing,2024-12-01,2025-05-30,26,11,1,2,3,3,2,1080000,870000,108000,3.7,No
P020,M&A Support,Financial Services,2024-07-15,2024-11-30,20,12,2,2,3,3,2,1250000,890000,125000,4.4,Yes
P021,Process Improvement,Healthcare,2024-09-15,2025-02-28,24,13,1,3,3,3,3,1180000,950000,118000,4.2,Yes
P022,Strategic Planning,Consumer Goods,2024-08-01,2024-12-15,20,8,1,1,2,2,2,760000,580000,76000,4.1,No
P023,Organizational Design,Telecommunications,2024-11-01,2025-04-15,24,10,1,2,2,3,2,950000,740000,95000,3.9,Yes
P024,Technology Implementation,Retail,2024-06-15,2025-01-30,33,18,2,3,5,5,3,2100000,1680000,210000,4.5,No
P025,Market Entry,Energy,2024-10-15,2025-03-30,24,9,1,2,2,2,2,880000,685000,88000,4.3,No
P026,Supply Chain,Consumer Goods,2024-07-01,2024-12-30,26,14,1,3,3,4,3,1320000,1055000,132000,4.0,Yes
P027,Risk Management,Financial Services,2024-09-01,2025-01-15,20,10,1,2,3,2,2,920000,690000,92000,4.6,Yes
P028,Performance Improvement,Manufacturing,2024-08-15,2025-02-28,28,16,2,2,4,4,4,1480000,1220000,148000,3.8,No
P029,Digital Strategy,Technology,2024-11-15,2025-05-30,28,12,1,2,3,3,3,1150000,890000,115000,4.7,Yes
P030,Due Diligence,Private Equity,2024-06-01,2024-08-15,11,6,1,1,2,1,1,450000,295000,45000,4.4,Yes
P031,Operations,Healthcare,2024-12-01,2025-06-30,30,17,2,3,4,4,4,1680000,1390000,168000,4.1,Yes
P032,Strategy,Insurance,2024-07-15,2024-11-30,20,9,1,2,2,2,2,850000,630000,85000,4.2,No
P033,Cost Reduction,Energy,2024-10-01,2025-04-15,28,13,1,2,4,3,3,1220000,985000,122000,3.6,No
P034,M&A Support,Technology,2024-08-01,2024-12-15,20,11,1,2,3,3,2,1050000,750000,105000,4.5,Yes
P035,Process Improvement,Retail,2024-09-15,2025-03-30,28,15,2,2,4,4,3,1380000,1125000,138000,4.0,No
P036,Strategic Planning,Manufacturing,2024-06-15,2024-11-30,24,10,1,2,2,3,2,940000,720000,94000,4.3,Yes
P037,Organizational Design,Financial Services,2024-11-01,2025-05-15,28,12,1,2,3,3,3,1120000,890000,112000,3.9,Yes
P038,Technology Implementation,Consumer Goods,2024-07-01,2025-02-28,35,19,2,3,5,5,4,2250000,1850000,225000,4.6,No
P039,Market Entry,Healthcare,2024-10-15,2025-04-30,28,10,1,2,2,3,2,980000,760000,98000,4.4,Yes
P040,Supply Chain,Technology,2024-08-15,2025-03-15,30,16,2,2,4,4,4,1520000,1250000,152000,4.1,No
P041,Risk Management,Energy,2024-09-01,2025-02-15,24,11,1,2,3,3,2,1030000,790000,103000,4.0,No
P042,Performance Improvement,Retail,2024-12-01,2025-07-15,32,14,1,3,3,4,3,1350000,1115000,135000,3.8,No
P043,Digital Strategy,Financial Services,2024-06-01,2024-11-15,24,11,1,2,3,2,3,1050000,800000,105000,4.7,Yes
P044,Due Diligence,Private Equity,2024-11-15,2025-02-15,13,7,1,1,2,2,1,520000,355000,52000,4.3,Yes
P045,Operations,Insurance,2024-07-01,2025-01-30,30,15,2,2,4,4,3,1420000,1180000,142000,4.2,No
P046,Strategy,Consumer Goods,2024-10-01,2025-02-28,22,9,1,2,2,2,2,860000,640000,86000,4.5,Yes
P047,Cost Reduction,Healthcare,2024-08-15,2025-03-30,32,12,1,2,3,3,3,1180000,965000,118000,3.7,Yes
P048,M&A Support,Manufacturing,2024-09-01,2025-02-15,24,13,2,2,3,3,3,1280000,920000,128000,4.4,No
P049,Process Improvement,Technology,2024-06-15,2024-12-30,28,16,1,3,4,4,4,1480000,1200000,148000,4.1,Yes
P050,Strategic Planning,Energy,2024-12-01,2025-05-30,26,10,1,2,2,3,2,980000,760000,98000,4.0,No