proposal_id,client_name,industry,project_type,proposal_value,our_price,competitor_count,days_to_prepare,team_size,lead_partner,won,decision_date,client_relationship_years,project_duration_months,complexity_score,rfi_score
P001,TechCorp Solutions,Technology,Digital Transformation,450000,425000,3,21,5,Sarah Chen,1,2024-03-15,2.5,8,7,8
P002,Global Manufacturing Inc,Manufacturing,Process Optimization,320000,298000,2,14,4,Mike Rodriguez,1,2024-03-22,4.2,6,6,9
P003,HealthSystem Partners,Healthcare,Operational Excellence,680000,695000,4,28,7,Lisa Thompson,0,2024-04-01,0.8,12,9,6
P004,RetailMax Corp,Retail,Supply Chain,240000,235000,2,18,3,David Park,1,2024-04-10,3.1,4,5,7
P005,EnergyFlow Ltd,Energy,Sustainability Strategy,520000,545000,5,25,6,Sarah Chen,0,2024-04-18,1.2,10,8,7
P006,FinanceFirst Bank,Financial Services,Risk Management,380000,365000,3,20,4,Jennifer Wu,1,2024-05-02,5.5,7,6,9
P007,AutoDrive Motors,Automotive,Lean Manufacturing,410000,435000,4,22,5,Mike Rodriguez,0,2024-05-15,2.0,9,7,5
P008,CloudTech Innovations,Technology,Cloud Migration,290000,275000,2,16,3,David Park,1,2024-05-28,1.8,5,4,8
P009,MedDevice Corp,Healthcare,Quality Systems,350000,365000,3,19,4,Lisa Thompson,0,2024-06-05,0.5,6,7,6
P010,LogiChain Express,Transportation,Network Optimization,460000,445000,4,24,5,Sarah Chen,1,2024-06-20,3.8,8,8,8
P011,PharmaCorp Ltd,Pharmaceuticals,Compliance Audit,310000,295000,2,17,3,Jennifer Wu,1,2024-07-03,4.7,5,6,9
P012,AgroTech Systems,Agriculture,Digital Innovation,380000,395000,3,21,4,Mike Rodriguez,0,2024-07-18,1.5,7,5,7
P013,InsuranceMax Group,Insurance,Process Reengineering,450000,430000,3,23,5,Lisa Thompson,1,2024-08-01,6.2,9,7,8
P014,BuildCorp Industries,Construction,Project Management,340000,355000,4,20,4,David Park,0,2024-08-15,0.9,6,6,5
P015,TeleComm Networks,Telecommunications,5G Strategy,620000,598000,5,30,7,Sarah Chen,1,2024-09-01,2.3,11,9,7
P016,FoodService Corp,Food & Beverage,Supply Chain Optimization,280000,265000,2,15,3,Mike Rodriguez,1,2024-09-12,3.5,4,5,8
P017,EduTech Solutions,Education,Learning Management,190000,185000,3,12,2,Jennifer Wu,1,2024-09-25,2.1,3,4,9
P018,SteelWorks Inc,Manufacturing,Operational Excellence,480000,505000,4,26,6,Lisa Thompson,0,2024-10-08,1.3,10,8,6
P019,CyberSec Dynamics,Technology,Security Assessment,420000,398000,3,19,4,David Park,1,2024-10-22,4.1,7,7,8
P020,WaterTech Municipal,Utilities,Infrastructure Planning,560000,575000,5,28,6,Sarah Chen,0,2024-11-05,0.7,12,9,5
P021,RetailTech Plus,Retail,Customer Experience,315000,302000,2,18,3,Mike Rodriguez,1,2024-11-18,2.9,5,6,7
P022,LabCorp Diagnostics,Healthcare,Laboratory Optimization,395000,385000,3,22,4,Jennifer Wu,1,2024-12-03,5.8,8,7,9
P023,AviationMax Corp,Aerospace,Maintenance Strategy,680000,715000,6,32,8,Lisa Thompson,0,2024-12-15,1.1,14,10,6
P024,GreenEnergy Solutions,Renewable Energy,Wind Farm Strategy,520000,495000,4,25,5,David Park,1,2025-01-10,3.2,9,8,8
P025,DataCorp Analytics,Technology,Big Data Implementation,440000,425000,3,21,4,Sarah Chen,1,2025-01-25,2.7,7,6,8
P026,ChemCorp Industries,Chemicals,Process Safety,360000,375000,4,24,5,Mike Rodriguez,0,2025-02-08,0.6,8,7,5
P027,HotelChain International,Hospitality,Revenue Management,290000,278000,2,16,3,Jennifer Wu,1,2025-02-20,4.4,5,5,9
P028,SportsTech Corp,Sports & Entertainment,Fan Engagement,245000,240000,3,14,3,Lisa Thompson,1,2025-03-05,1.9,4,4,7
P029,MiningCorp Global,Mining,Safety Systems,580000,605000,5,29,7,David Park,0,2025-03-18,2.1,11,9,6
P030,SmartCity Solutions,Government,Urban Planning,720000,695000,4,35,8,Sarah Chen,1,2025-04-02,3.6,15,10,8
P031,BioPharma Research,Biotechnology,R&D Optimization,425000,445000,4,23,5,Mike Rodriguez,0,2025-04-15,1.4,8,7,6
P032,LogisticsPro Corp,Logistics,Warehouse Automation,350000,335000,2,19,4,Jennifer Wu,1,2025-04-28,5.1,6,6,8
P033,CleanTech Innovations,Environmental,Waste Management,380000,365000,3,20,4,Lisa Thompson,1,2025-05-12,2.8,7,6,9
P034,MediaCorp Digital,Media & Entertainment,Content Strategy,260000,270000,3,17,3,David Park,0,2025-05-25,1.2,5,5,7
P035,AeroSpace Dynamics,Aerospace,Supply Chain,540000,525000,4,27,6,Sarah Chen,1,2025-06-08,4.0,10,8,8
P036,PetrolCorp Ltd,Oil & Gas,Refinery Optimization,650000,675000,5,31,7,Mike Rodriguez,0,2025-06-22,0.9,13,9,5
P037,FashionMax Retail,Fashion & Apparel,Omnichannel Strategy,320000,305000,2,18,3,Jennifer Wu,1,2025-07-05,3.3,6,5,8
P038,NanoTech Corp,Technology,Innovation Strategy,480000,465000,3,24,5,Lisa Thompson,1,2025-07-18,2.5,9,7,7
P039,AgriCorp Systems,Agriculture,Precision Farming,410000,425000,4,22,4,David Park,0,2025-08-01,1.7,8,6,6
P040,UrbanDev Corp,Real Estate,Smart Buildings,390000,375000,3,21,4,Sarah Chen,1,2025-08-15,4.8,7,7,9
P041,TransportMax,Transportation,Fleet Optimization,445000,430000,3,23,5,Mike Rodriguez,1,2025-08-28,3.4,8,6,8
P042,TechStart Ventures,Technology,Startup Acceleration,220000,215000,2,13,2,Jennifer Wu,1,2025-09-10,1.6,4,3,8
P043,IndustrialTech Corp,Industrial,Predictive Maintenance,520000,545000,4,26,6,Lisa Thompson,0,2025-09-25,2.2,10,8,6
P044,SolarTech Systems,Solar Energy,Grid Integration,480000,465000,3,24,5,David Park,1,2025-10-08,3.7,9,7,8
P045,HealthTech Innovations,Healthcare,Telemedicine Strategy,360000,355000,3,20,4,Sarah Chen,1,2025-10-22,2.4,6,6,7
P046,MarineTech Corp,Marine,Port Optimization,580000,605000,5,28,6,Mike Rodriguez,0,2025-11-05,1.0,12,9,5
P047,ConsumerGoods Inc,Consumer Products,Brand Strategy,280000,268000,2,16,3,Jennifer Wu,1,2025-11-18,4.5,5,4,9
P048,ElectroTech Systems,Electronics,Quality Management,420000,405000,3,22,4,Lisa Thompson,1,2025-12-02,3.1,7,6,8
P049,PackagingCorp Ltd,Packaging,Sustainability Initiative,340000,355000,4,19,4,David Park,0,2025-12-15,1.8,6,5,6
P050,CloudFirst Corp,Technology,DevOps Transformation,380000,365000,2,20,4,Sarah Chen,1,2025-12-28,2.6,7,6,8